Society_Name,Locality,Price,Average Price,BHK Type,Area,Possession Status
Wildernest at SP Kingstown,"Wildernest at SP Kingstown, Shewalewadi, Pune",₹1.75 Cr,N/A,3 BHK,1384 sqft,Poss. by Jun '27
Mahindra Codename Crown,"Mahindra Codename Crown, Wagholi, Pune",₹98 Lac,N/A,2 BHK,770 sqft,Poss. by Mar '30
Sobha Nesara,"Sobha Nesara, Kothrud, Pune",₹3.35 Cr,"₹13,477 per sqft",3 BHK,2491 sqft,Poss. by Mar '27
Geras Island of Joy,"Geras Island of Joy, Wagholi, Pune",₹1.11 Cr,"₹11,160 per sqft",2 BHK,997 sqft,Poss. by May '28
Joyville Celestia,"Joyville Celestia, Hadapsar, Pune",₹80.8 Lac,N/A,2 BHK,707 sqft,Poss. by Mar '28
Vision Vanessa,"Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",₹1.80 Cr,N/A,3 BHK,1423 sqft,Poss. by Dec '26
M Soul Strings,"M Soul Strings, Pashan, Pune",₹2.25 Cr,"₹12,605 per sqft",3 BHK,1320 sqft,Poss. by Dec '31
Nyati Esteban II,"Nyati Esteban II, Undri, Pune",₹1.22 Cr,"₹7,473 per sqft",3 BHK,1213 sqft,Poss. by Sep '27
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.25 Cr,N/A,2 BHK,820 sqft,Poss. by Dec '29
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.74 Cr,N/A,3 BHK,1140 sqft,Poss. by Sep '26
Wildernest at SP Kingstown,"Wildernest at SP Kingstown, Shewalewadi, Pune",₹1.75 Cr,N/A,3 BHK,1384 sqft,Poss. by Jun '27
Mahindra Codename Crown,"Mahindra Codename Crown, Wagholi, Pune",₹98 Lac,N/A,2 BHK,770 sqft,Poss. by Mar '30
Sobha Nesara,"Sobha Nesara, Kothrud, Pune",₹3.35 Cr,"₹13,477 per sqft",3 BHK,2491 sqft,Poss. by Mar '27
Geras Island of Joy,"Geras Island of Joy, Wagholi, Pune",₹1.11 Cr,"₹11,160 per sqft",2 BHK,997 sqft,Poss. by May '28
Joyville Celestia,"Joyville Celestia, Hadapsar, Pune",₹80.8 Lac,N/A,2 BHK,707 sqft,Poss. by Mar '28
Vision Vanessa,"Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",₹1.80 Cr,N/A,3 BHK,1423 sqft,Poss. by Dec '26
M Soul Strings,"M Soul Strings, Pashan, Pune",₹2.25 Cr,"₹12,605 per sqft",3 BHK,1320 sqft,Poss. by Dec '31
Nyati Esteban II,"Nyati Esteban II, Undri, Pune",₹1.22 Cr,"₹7,473 per sqft",3 BHK,1213 sqft,Poss. by Sep '27
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.25 Cr,N/A,2 BHK,820 sqft,Poss. by Dec '29
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.74 Cr,N/A,3 BHK,1140 sqft,Poss. by Sep '26
Wildernest at SP Kingstown,"Wildernest at SP Kingstown, Shewalewadi, Pune",₹1.75 Cr,N/A,3 BHK,1384 sqft,Poss. by Jun '27
Mahindra Codename Crown,"Mahindra Codename Crown, Wagholi, Pune",₹98 Lac,N/A,2 BHK,770 sqft,Poss. by Mar '30
Sobha Nesara,"Sobha Nesara, Kothrud, Pune",₹3.35 Cr,"₹13,477 per sqft",3 BHK,2491 sqft,Poss. by Mar '27
Geras Island of Joy,"Geras Island of Joy, Wagholi, Pune",₹1.11 Cr,"₹11,160 per sqft",2 BHK,997 sqft,Poss. by May '28
Joyville Celestia,"Joyville Celestia, Hadapsar, Pune",₹80.8 Lac,N/A,2 BHK,707 sqft,Poss. by Mar '28
Vision Vanessa,"Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",₹1.80 Cr,N/A,3 BHK,1423 sqft,Poss. by Dec '26
M Soul Strings,"M Soul Strings, Pashan, Pune",₹2.25 Cr,"₹12,605 per sqft",3 BHK,1320 sqft,Poss. by Dec '31
Nyati Esteban II,"Nyati Esteban II, Undri, Pune",₹1.22 Cr,"₹7,473 per sqft",3 BHK,1213 sqft,Poss. by Sep '27
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.25 Cr,N/A,2 BHK,820 sqft,Poss. by Dec '29
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.74 Cr,N/A,3 BHK,1140 sqft,Poss. by Sep '26
Wildernest at SP Kingstown,"Wildernest at SP Kingstown, Shewalewadi, Pune",₹1.75 Cr,N/A,3 BHK,1384 sqft,Poss. by Jun '27
Mahindra Codename Crown,"Mahindra Codename Crown, Wagholi, Pune",₹98 Lac,N/A,2 BHK,770 sqft,Poss. by Mar '30
Sobha Nesara,"Sobha Nesara, Kothrud, Pune",₹3.35 Cr,"₹13,477 per sqft",3 BHK,2491 sqft,Poss. by Mar '27
Geras Island of Joy,"Geras Island of Joy, Wagholi, Pune",₹1.11 Cr,"₹11,160 per sqft",2 BHK,997 sqft,Poss. by May '28
Joyville Celestia,"Joyville Celestia, Hadapsar, Pune",₹80.8 Lac,N/A,2 BHK,707 sqft,Poss. by Mar '28
Vision Vanessa,"Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",₹1.80 Cr,N/A,3 BHK,1423 sqft,Poss. by Dec '26
M Soul Strings,"M Soul Strings, Pashan, Pune",₹2.25 Cr,"₹12,605 per sqft",3 BHK,1320 sqft,Poss. by Dec '31
Nyati Esteban II,"Nyati Esteban II, Undri, Pune",₹1.22 Cr,"₹7,473 per sqft",3 BHK,1213 sqft,Poss. by Sep '27
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.25 Cr,N/A,2 BHK,820 sqft,Poss. by Dec '29
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.74 Cr,N/A,3 BHK,1140 sqft,Poss. by Sep '26
Wildernest at SP Kingstown,"Wildernest at SP Kingstown, Shewalewadi, Pune",₹1.75 Cr,N/A,3 BHK,1384 sqft,Poss. by Jun '27
Mahindra Codename Crown,"Mahindra Codename Crown, Wagholi, Pune",₹98 Lac,N/A,2 BHK,770 sqft,Poss. by Mar '30
Sobha Nesara,"Sobha Nesara, Kothrud, Pune",₹3.35 Cr,"₹13,477 per sqft",3 BHK,2491 sqft,Poss. by Mar '27
Geras Island of Joy,"Geras Island of Joy, Wagholi, Pune",₹1.11 Cr,"₹11,160 per sqft",2 BHK,997 sqft,Poss. by May '28
Joyville Celestia,"Joyville Celestia, Hadapsar, Pune",₹80.8 Lac,N/A,2 BHK,707 sqft,Poss. by Mar '28
Vision Vanessa,"Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",₹1.80 Cr,N/A,3 BHK,1423 sqft,Poss. by Dec '26
M Soul Strings,"M Soul Strings, Pashan, Pune",₹2.25 Cr,"₹12,605 per sqft",3 BHK,1320 sqft,Poss. by Dec '31
Nyati Esteban II,"Nyati Esteban II, Undri, Pune",₹1.22 Cr,"₹7,473 per sqft",3 BHK,1213 sqft,Poss. by Sep '27
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.25 Cr,N/A,2 BHK,820 sqft,Poss. by Dec '29
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.74 Cr,N/A,3 BHK,1140 sqft,Poss. by Sep '26
Wildernest at SP Kingstown,"Wildernest at SP Kingstown, Shewalewadi, Pune",₹1.75 Cr,N/A,3 BHK,1384 sqft,Poss. by Jun '27
Mahindra Codename Crown,"Mahindra Codename Crown, Wagholi, Pune",₹98 Lac,N/A,2 BHK,770 sqft,Poss. by Mar '30
Sobha Nesara,"Sobha Nesara, Kothrud, Pune",₹3.35 Cr,"₹13,477 per sqft",3 BHK,2491 sqft,Poss. by Mar '27
Geras Island of Joy,"Geras Island of Joy, Wagholi, Pune",₹1.11 Cr,"₹11,160 per sqft",2 BHK,997 sqft,Poss. by May '28
Joyville Celestia,"Joyville Celestia, Hadapsar, Pune",₹80.8 Lac,N/A,2 BHK,707 sqft,Poss. by Mar '28
Vision Vanessa,"Vision Vanessa, Ravet, Pimpri Chinchwad, Pune",₹1.80 Cr,N/A,3 BHK,1423 sqft,Poss. by Dec '26
M Soul Strings,"M Soul Strings, Pashan, Pune",₹2.25 Cr,"₹12,605 per sqft",3 BHK,1320 sqft,Poss. by Dec '31
Nyati Esteban II,"Nyati Esteban II, Undri, Pune",₹1.22 Cr,"₹7,473 per sqft",3 BHK,1213 sqft,Poss. by Sep '27
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.25 Cr,N/A,2 BHK,820 sqft,Poss. by Dec '29
Bramha the Collection,"Bramha the Collection, New Kalyani Nagar, Pune",₹1.74 Cr,N/A,3 BHK,1140 sqft,Poss. by Sep '26
Wildernest at SP Kingstown,"Wildernest at SP Kingstown, Shewalewadi, Pune",₹1.75 Cr,N/A,3 BHK,1384 sqft,Poss. by Jun '27
Mahindra Codename Crown,"Mahindra Codename Crown, Wagholi, Pune",₹98 Lac,N/A,2 BHK,770 sqft,Poss. by Mar '30
Sobha Nesara,"Sobha Nesara, Kothrud, Pune",₹3.35 Cr,"₹13,477 per sqft",3 BHK,2491 sqft,Poss. by Mar '27
Geras Island of Joy,"Geras Island of Joy, Wagholi, Pune",₹1.11 Cr,"₹11,160 per sqft",2 BHK,997 sqft,Poss. by May '28
Joyville Celestia,"Joyville Celestia, Hadapsar, Pune",₹80.8 Lac,N/A,2 BHK,707 sqft,Poss. by Mar '28
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
Raheja Antares,"Raheja Antares, Kanjurmarg, Mumbai",₹3.17 Cr,N/A,3 BHK,1118 sqft,Poss. by Nov '29
Sheth Montana,"Sheth Montana, Mulund West, Mumbai",₹2.58 Cr,N/A,2 BHK,902 sqft,Poss. by Dec '24
Leo Tower,"Leo Tower, Andheri West, Mumbai",₹2.63 Cr,N/A,2 BHK,640 sqft,Poss. by May '26
Ruchita Bliss,"Ruchita Bliss, Nalasopara West, Mumbai",₹60.6 Lac,"₹5,739 per sqft",2 BHK,640 sqft,Poss. by Dec '26
Aerovista,"Aerovista, Andheri East, Mumbai",₹1.62 Cr,"₹20,847 per sqft",2 BHK,535 sqft,Poss. by Dec '24
Srishti Namaah,"Srishti Namaah, Mira Road Area, Mumbai",₹1.85 Cr,N/A,3 BHK,979 sqft,Poss. by Jun '27
Northern Hills,"Northern Hills, Dahisar East, Mumbai",₹3.26 Cr,N/A,3 BHK,1026 sqft,Poss. by Dec '26
Satra Nexus,"Satra Nexus, Jogeshwari East, Mumbai",₹1.26 Cr,N/A,2 BHK,604 sqft,Poss. by Dec '27
Avant Heritage V,"Avant Heritage V, Jogeshwari East, Mumbai",₹1.52 Cr,N/A,2 BHK,648 sqft,Poss. by Dec '27
Raj Heritage 2,"Raj Heritage 2, Mira Road East, Mumbai",₹99.9 Lac,"₹14,520 per sqft",2 BHK,574 sqft,Poss. by Mar '26
Sheth Codename Younique,"Sheth Codename Younique, Chunabhatti, Mumbai",₹2.40 Cr,N/A,2 BHK,712 sqft,Poss. by Dec '27
Arham Mourya,"Arham Mourya, Chembur East, Mumbai",₹4.11 Cr,N/A,3 BHK,1101 sqft,Poss. by Dec '26
Yashwant Circle,"Yashwant Circle, Virar West, Mumbai",₹90.3 Lac,"₹9,380 per sqft",2 BHK,741 sqft,Poss. by Dec '27
Piramal Mahalaxmi,"Piramal Mahalaxmi, Mahalakshmi, Mumbai",₹8.28 Cr,N/A,3 BHK,1380 sqft,Poss. by Dec '25
